player_id,avg_rating,rating_band,n_games,anomaly_votes,ensemble_confident,top_feature_1,z_score_1,explanation_1,confident_1,top_feature_2,z_score_2,explanation_2,confident_2,top_feature_3,z_score_3,explanation_3,confident_3,summary
dongman51,1216.0,1200-1400,30,2,False,acpl_consistency_band_z,-1.15,"Move quality is unusually consistent across games for their rating band — humans have good days and bad days; an engine plays at the same level every game regardless of tiredness, preparation, or time pressure. Suspiciously low game-to-game ACPL variance relative to peers at the same Elo.",True,comeback_rate,1.07,Escapes clearly losing positions (eval < -1.5 pawns) at an unusual rate — this is extremely hard for humans but routine for engines,True,performance_vs_actual,0.95,Empirical performance rating is significantly higher than their official Elo — they play measurably better than their registered rating suggests,True,"Flagged primarily due to: acpl consistency (band-normalised), comeback rate. 2 of 3 voters agreed."
atelia,1927.0,1800-2000,15,2,False,rating_gain,2.91,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,rating_volatility,2.76,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,acpl_phase_gap_band_z,1.37,"Large gap between opening and middlegame accuracy — plays at roughly human level in the opening, then dramatically better in the middlegame; consistent with turning on an engine once the position moves beyond memorised theory",True,"Flagged primarily due to: rating gain, rating volatility. 2 of 3 voters agreed."
Ahmedeldegwy82,1233.0,1200-1400,23,2,False,win_rate,0.74,"Win rate is unusually high — in a stable Elo system win rates converge toward ~50%, so sustained deviation is notable",False,underdog_win_rate,0.63,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,win_rate_vs_expected,0.57,Consistently outperforms their Elo prediction — wins more games than the rating system expects given their opponents,True,"Flagged primarily due to: underdog win rate, win rate vs expected. 2 of 3 voters agreed."
lolo2015,1447.0,1400-1600,20,3,True,acpl_phase_gap_band_z,3.25,"Large gap between opening and middlegame accuracy — plays at roughly human level in the opening, then dramatically better in the middlegame; consistent with turning on an engine once the position moves beyond memorised theory",True,best_move_rate_band_z,1.26,Finds optimal moves at an unusually high rate for their rating band — engines consistently find the best move; humans at this Elo don't,True,avg_acpl_middlegame_band_z,-1.11,Middlegame ACPL is unusually low for their rating band — the middlegame is where engine assistance matters most; human players naturally make more mistakes in complex positions,True,"Flagged primarily due to: acpl phase gap (band-normalised), best move rate (band-normalised). All 3 voters agreed."
Blacktoothgrim,1756.0,1600-1800,15,2,False,avg_turns,3.96,Unusual game length distribution — flagged by the statistical model but no single clear interpretation,False,victory_efficiency,3.75,Unusual game outcome efficiency — flagged by the model; interpretation is not straightforward,False,opening_ply_ratio,2.92,Unusual opening depth relative to rating — flagged by the model; not a strong standalone cheating signal,False,Flagged by statistical model — top deviating features are not directly interpretable as cheating signals. Warrants human review.
jmgoca,1386.0,1200-1400,16,3,True,rating_volatility,1.48,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,avg_acpl_opening_band_z,-0.66,Opening ACPL is unusually low for their rating band — could reflect strong opening preparation rather than engine use; weaker signal than middlegame ACPL,False,avg_weighted_acpl_band_z,-0.56,"Complexity-weighted ACPL is unusually low for their rating band — this metric down-weights moves in already-won or lost positions and focuses on equal, contested positions where mistakes are most costly. A suspiciously low value means near-engine accuracy precisely when the position is hardest to play — the clearest sign of engine use.",True,"Flagged primarily due to: rating volatility, avg weighted acpl (band-normalised). All 3 voters agreed."
qufrkr3,1401.0,1400-1600,20,2,False,rating_volatility,3.36,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,rating_gain,2.73,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,comeback_rate,1.93,Escapes clearly losing positions (eval < -1.5 pawns) at an unusual rate — this is extremely hard for humans but routine for engines,True,"Flagged primarily due to: rating volatility, rating gain. 2 of 3 voters agreed."
nikolayr,1881.0,1800-2000,40,2,False,acpl_phase_gap_band_z,1.56,"Large gap between opening and middlegame accuracy — plays at roughly human level in the opening, then dramatically better in the middlegame; consistent with turning on an engine once the position moves beyond memorised theory",True,acpl_consistency_band_z,-0.8,"Move quality is unusually consistent across games for their rating band — humans have good days and bad days; an engine plays at the same level every game regardless of tiredness, preparation, or time pressure. Suspiciously low game-to-game ACPL variance relative to peers at the same Elo.",True,avg_acpl_middlegame_band_z,-0.8,Middlegame ACPL is unusually low for their rating band — the middlegame is where engine assistance matters most; human players naturally make more mistakes in complex positions,True,"Flagged primarily due to: acpl phase gap (band-normalised), acpl consistency (band-normalised). 2 of 3 voters agreed."
Shantanu_Chetia,1555.0,1400-1600,36,3,True,comeback_rate,2.76,Escapes clearly losing positions (eval < -1.5 pawns) at an unusual rate — this is extremely hard for humans but routine for engines,True,acpl_consistency_band_z,-0.91,"Move quality is unusually consistent across games for their rating band — humans have good days and bad days; an engine plays at the same level every game regardless of tiredness, preparation, or time pressure. Suspiciously low game-to-game ACPL variance relative to peers at the same Elo.",True,avg_weighted_acpl_band_z,-0.86,"Complexity-weighted ACPL is unusually low for their rating band — this metric down-weights moves in already-won or lost positions and focuses on equal, contested positions where mistakes are most costly. A suspiciously low value means near-engine accuracy precisely when the position is hardest to play — the clearest sign of engine use.",True,"Flagged primarily due to: comeback rate, acpl consistency (band-normalised). All 3 voters agreed."
Giuseppe-Michele,2126.0,2000-2200,22,3,True,rating_gain,2.65,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,rating_volatility,2.52,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,avg_weighted_acpl_band_z,-1.05,"Complexity-weighted ACPL is unusually low for their rating band — this metric down-weights moves in already-won or lost positions and focuses on equal, contested positions where mistakes are most costly. A suspiciously low value means near-engine accuracy precisely when the position is hardest to play — the clearest sign of engine use.",True,"Flagged primarily due to: rating gain, rating volatility. All 3 voters agreed."
kknight,2302.0,2200+,17,2,False,underdog_win_rate,1.59,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,performance_vs_actual,0.88,Empirical performance rating is significantly higher than their official Elo — they play measurably better than their registered rating suggests,True,win_rate_vs_expected,0.62,Consistently outperforms their Elo prediction — wins more games than the rating system expects given their opponents,True,"Flagged primarily due to: underdog win rate, performance vs actual. 2 of 3 voters agreed."
H-KH92,1852.0,1800-2000,24,2,False,acpl_phase_gap_band_z,2.2,"Large gap between opening and middlegame accuracy — plays at roughly human level in the opening, then dramatically better in the middlegame; consistent with turning on an engine once the position moves beyond memorised theory",True,victory_efficiency,-0.55,Unusual game outcome efficiency — flagged by the model; interpretation is not straightforward,False,avg_turns,-0.51,Unusual game length distribution — flagged by the statistical model but no single clear interpretation,False,Flagged primarily due to: acpl phase gap (band-normalised). 2 of 3 voters agreed.
caylakgasparov,1676.0,1600-1800,16,2,False,rating_volatility,1.1,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,comeback_rate,0.52,Escapes clearly losing positions (eval < -1.5 pawns) at an unusual rate — this is extremely hard for humans but routine for engines,True,underdog_win_rate,0.32,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,"Flagged primarily due to: rating volatility, comeback rate. 2 of 3 voters agreed."
Samsung777,1579.0,1400-1600,21,2,False,underdog_win_rate,1.66,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,timeout_loss_rate,-0.41,Rarely or never loses on time — engine users respond instantly and never run out of clock; a zero timeout-loss rate at any rating level is a supporting signal,False,opening_ply_ratio,-0.32,Unusual opening depth relative to rating — flagged by the model; not a strong standalone cheating signal,False,Flagged primarily due to: underdog win rate. 2 of 3 voters agreed.
FoxyMoves,2263.0,2200+,70,2,False,rating_gain,3.29,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,rating_volatility,2.6,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,win_rate,1.44,"Win rate is unusually high — in a stable Elo system win rates converge toward ~50%, so sustained deviation is notable",False,"Flagged primarily due to: rating gain, rating volatility. 2 of 3 voters agreed."
velomosh,1727.0,1600-1800,58,2,False,underdog_win_rate,2.68,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,acpl_consistency_band_z,-1.31,"Move quality is unusually consistent across games for their rating band — humans have good days and bad days; an engine plays at the same level every game regardless of tiredness, preparation, or time pressure. Suspiciously low game-to-game ACPL variance relative to peers at the same Elo.",True,opening_ply_ratio,-0.69,Unusual opening depth relative to rating — flagged by the model; not a strong standalone cheating signal,False,"Flagged primarily due to: underdog win rate, acpl consistency (band-normalised). 2 of 3 voters agreed."
